datetime,field1,field2,field3,field4,field5,field6
2017-03-28 18:42:54,0.58,25,13,34,77.54220500000001,12.9532787
2017-03-28 18:46:24,0.57,25,13,34,77.5413618,12.952620399999999
2017-03-28 18:53:10,0.54,24,14,34,77.536201,12.953660300000001
2017-03-28 18:58:01,0.55,26,15,34,77.5340167,12.9540038
2017-03-29 08:07:15,0.65,24,91,27,77.5282008,12.9552704
2017-03-29 08:11:19,0.65,24,91,27,77.5292677,12.9605478
2017-03-29 08:14:23,0.61,24,89,27,77.52901261840896,12.960662590435696
2017-03-29 08:18:44,0.59,24,87,27,77.52901261840896,12.960662590435696
2017-03-29 08:23:02,0.57,24,87,27,77.52901261840896,12.960662590435696
2017-03-29 08:29:06,0.52,24,85,27,77.52901261840896,12.960662590435696
2017-03-29 08:33:19,0.52,24,86,27,77.5288391,12.960763499999999
2017-03-29 08:38:22,0.48,24,84,27,77.5277894,12.9549119
2017-03-29 08:43:44,0.48,25,84,27,77.5273071,12.952544999999999
2017-03-29 08:48:57,0.46,25,83,27,77.5268696,12.949817999999999
2017-03-29 08:54:02,0.48,25,82,28,77.52668409999998,12.948322099999999
2017-03-29 08:59:34,0.42,25,82,28,77.52739509999999,12.945777099999999
2017-03-29 09:04:28,0.4,25,81,28,77.5365386,12.935068
2017-03-29 09:08:56,0.4,24,80,28,77.53439940000001,12.9340606
2017-03-29 09:14:07,0.4,24,80,28,77.53439940000001,12.9340606
2017-03-29 09:19:35,0.38,24,76,28,77.53585369999998,12.9331591
2017-03-29 09:24:45,0.38,24,76,28,77.53585369999998,12.9331591
2017-03-29 09:28:37,0.36,24,72,28,77.5370419,12.9335261
2017-03-29 09:33:20,0.36,24,70,28,77.5415656,12.932288
2017-03-29 09:38:12,0.39,23,66,28,77.5455963,12.9311585
2017-03-29 09:44:43,0.41,23,63,28,77.53668359999999,12.9342149
2017-03-29 09:49:23,0.43,23,60,28,77.6208559,12.927313999999999
2017-03-29 09:53:56,0.43,23,57,28,77.6215273,12.9273019
2017-03-29 09:59:01,0.45,23,54,28,77.6215535,12.927409800000001
2017-03-29 10:05:49,0.44,23,53,28,77.62162140000001,12.926589
2017-03-29 13:15:05,0.53,22,17,34,77.6214825,12.9274323
2017-03-29 13:19:21,0.52,22,17,34,77.6215464,12.9288756
2017-03-29 13:23:05,0.52,22,17,34,77.6223775,12.9304763
2017-03-29 13:30:33,0.52,21,17,34,77.6225119,12.9312178
2017-03-29 13:35:14,0.5,20,17,34,77.6241336,12.935066699999998
2017-03-29 13:39:43,0.5,20,16,34,77.62416479999999,12.935111099999999
2017-03-29 13:44:76,0.5,20,16,34,77.626099,12.936701300000001
2017-03-29 13:48:02,0.49,20,16,34,77.6281139,12.9359064
2017-03-29 13:52:54,0.49,19,15,34,77.6333144,12.929896699999999
2017-03-29 13:55:30,0.48,19,16,34,77.63748709999999,12.925148
2017-03-29 14:00:32,0.48,19,16,34,77.64011500000001,12.923829099999999
2017-03-29 14:04:40,0.48,19,16,34,77.6458307,12.9245381
2017-03-29 14:09:23,0.48,18,16,34,77.652599,12.9242673
2017-03-29 14:13:56,0.5,18,15,34,77.6564075,12.923387
2017-03-29 14:19:01,0.5,20,15,34,77.6608443,12.921877
2017-03-29 14:23:23,0.5,20,15,34,77.6617824,12.9216405
2017-03-29 14:28:11,0.48,22,15,34,77.6623187,12.921501800000001
2017-03-29 14:33:32,0.48,25,15,34,77.6630196,12.921303199999999
2017-03-29 14:38:10,0.47,28,15,34,77.66337109999999,12.9212221
2017-03-29 14:42:28,0.48,29,15,34,77.66516159999999,12.9208757
2017-03-29 14:48:35,0.46,29,15,34,77.6681559,12.922248
2017-03-29 14:53:44,0.45,30,15,34,77.6705315,12.9233966
2017-03-29 16:56:13,0.47,25,16,33,77.67103399812622,12.923647343820093
2017-03-29 17:01:04,0.47,25,16,33,77.67103399812622,12.923647343820093
2017-03-29 17:06:34,0.45,25,16,33,77.67103399812622,12.923647343820093
2017-03-29 17:11:15,0.44,24,16,33,77.67103399812622,12.923647343820093
2017-03-29 17:17:40,0.44,24,16,33,77.67156640000002,12.923847300000002
2017-03-29 17:23:03,0.44,24,17,33,77.6724427,12.9242174
2017-03-29 17:27:09,0.44,24,17,33,77.6734438,12.9246415
2017-03-29 17:33:13,0.44,23,17,33,77.67357779999999,12.9247681
2017-03-29 17:38:25,0.45,23,17,33,77.673716,12.9247294
