created_at,entry_id,field1,field2,field3,field4,field5,field6
2017-04-05 14:15:00 UTC,155,1.27,85.9,36.91,27,77.52668409999998,12.948322099999999
2017-04-05 14:30:00 UTC,156,0.42,85.9,31.7,25,77.52739509999999,12.945777099999999
2017-04-06 01:30:00 UTC,157,0.28,13.81,81.17,24,77.5365386,12.935068
2017-04-06 01:45:00 UTC,158,0.25,13.81,83.17,23,77.53439940000001,12.9340606
2017-04-06 02:00:00 UTC,159,0.24,18.09,83.07,23,77.53439940000001,12.9340606
2017-04-06 02:15:00 UTC,160,0.24,25.84,80.93,23,77.53585369999998,12.9331591
2017-04-06 02:30:00 UTC,161,0.23,25.84,78.47,25,77.53585369999998,12.9331591
2017-04-06 02:45:00 UTC,162,0.23,25.84,75.16,27,77.5370419,12.9335261
2017-04-06 03:00:00 UTC,163,0.26,21.88,70.68,27,77.5415656,12.932288
2017-04-06 03:15:00 UTC,164,0.26,14.69,67.56,27,77.5455963,12.9311585
2017-04-06 03:30:00 UTC,165,0.29,14.69,63.68,31,77.53668359999999,12.9342149
2017-04-06 03:45:00 UTC,166,0.42,14.69,59.83,34,77.6208559,12.927313999999999
2017-04-06 04:00:00 UTC,167,0.54,16.28,54.19,31,77.6215273,12.9273019
2017-04-06 04:15:00 UTC,168,0.59,19.17,50.96,31,77.6215535,12.927409800000001
2017-04-06 05:00:00 UTC,169,0.58,26.08,45.09,30,77.62162140000001,12.926589
2017-04-06 05:15:00 UTC,170,0.55,39.44,44.56,32,77.6214825,12.9274323
2017-04-06 05:30:00 UTC,171,0.52,39.44,42.63,33,77.6215464,12.9288756
2017-04-06 05:45:00 UTC,172,0.52,39.44,40.35,33,77.6223775,12.9304763
2017-04-06 06:00:00 UTC,173,0.47,44.38,39.54,35,77.6225119,12.9312178
2017-04-06 06:15:00 UTC,174,0.54,54.27,39.13,31,77.6241336,12.935066699999998
2017-04-06 06:30:00 UTC,175,0.54,54.27,39.12,35,77.62416479999999,12.935111099999999
2017-04-06 06:45:00 UTC,176,0.42,54.27,37.91,33,77.626099,12.936701300000001
2017-04-06 07:00:00 UTC,177,0.45,51.08,35.62,30,77.6281139,12.9359064
2017-04-06 07:15:00 UTC,178,0.47,44.69,34.54,32,77.6333144,12.929896699999999
